show_id,type,title,release_year,duration,duration_num
81193313,TV Show,Chocolate,2019,1 Season,1
81197050,Movie,Guatemala: Heart of the Mayan World,2019,67 min,67
81213894,Movie,The Zoya Factor,2019,135 min,135
81082007,Movie,Atlantics,2019,106 min,106
80213643,TV Show,Chip and Potato,2019,2 Seasons,2
81172754,Movie,Crazy people,2018,107 min,107
81120982,Movie,I Lost My Body,2019,81 min,81
81227195,Movie,Kalushi: The Story of Solomon Mahlangu,2016,107 min,107
70205672,TV Show,La Reina del Sur,2019,2 Seasons,2
81172841,Movie,Lagos Real Fake Life,2018,118 min,118
81172899,Movie,Payday,2018,110 min,110
81094391,TV Show,Sugar Rush Christmas,2019,1 Season,1
81172908,Movie,The Accidental Spy,2017,104 min,104
81152641,TV Show,The Charming Stepmom,2019,1 Season,1
81172901,Movie,The Island,2018,93 min,93
80990849,TV Show,The Movies That Made Us,2019,1 Season,1
81033086,Movie,Holiday Rush,2019,94 min,94
80156799,TV Show,Levius,2019,1 Season,1
81161538,TV Show,Lugar de Mulher,2019,1 Season,1
80997965,TV Show,Merry Happy Whatever,2019,1 Season,1
81018979,TV Show,Mythomaniac,2019,1 Season,1
60020826,Movie,The Score,2001,124 min,124
81002391,TV Show,Broken,2019,1 Season,1
70101696,Movie,Defiance,2008,137 min,137
81194544,Movie,Evvarikee Cheppoddu,2019,134 min,134
80995081,Movie,Little Singham: Mahabali,2019,69 min,69
81177504,Movie,The Body Remembers When the World Broke Open,2019,106 min,106
80175798,Movie,The Irishman,2019,209 min,209
81062293,Movie,Mike Birbiglia: The New One,2019,86 min,86
80235524,Movie,Super Monsters Save Christmas,2019,24 min,24
81204911,TV Show,The Crime,2015,2 Seasons,2
81035121,Movie,True: Winter Wishes,2019,46 min,46
81140259,TV Show,Zona Rosa,2019,1 Season,1
80241855,TV Show,Dirty John,2018,1 Season,1
81215481,Movie,Pranaam,2019,117 min,117
81005044,Movie,What the F* Is Going On?,2019,87 min,87
81218079,Movie,Awake,2019,92 min,92
60028294,Movie,Popeye,1980,114 min,114
80125671,Movie,Shot Caller,2017,121 min,121
80198001,TV Show,Strong Girl Bong-soon,2017,1 Season,1
60020948,Movie,Charlotte's Web,1973,94 min,94
70235384,Movie,End of Watch,2012,109 min,109
569355,Movie,Hamburger Hill,1987,110 min,110
81208888,TV Show,Once Upon A Time In Lingjian Mountain,2019,1 Season,1
60022645,Movie,The Time Machine,2002,96 min,96
80198859,Movie,Brother,2019,97 min,97
